id,order,text_en,ref_en,text_ace,ref_ace,text_af,ref_af,text_am,ref_am,text_as,ref_as,text_az,ref_az,text_bg,ref_bg,text_bn,ref_bn,text_bs,ref_bs,text_ca,ref_ca,text_ceb,ref_ceb,text_ckb,ref_ckb,text_cs,ref_cs,text_da,ref_da,text_de,ref_de,text_el,ref_el,text_et,ref_et,text_fa,ref_fa,text_fi,ref_fi,text_fil,ref_fil,text_fr,ref_fr,text_ga,ref_ga,text_gu,ref_gu,text_ha,ref_ha,text_he,ref_he,text_hi,ref_hi,text_hr,ref_hr,text_ht,ref_ht,text_hu,ref_hu,text_hy,ref_hy,text_id,ref_id,text_ig,ref_ig,text_is,ref_is,text_it,ref_it,text_ja,ref_ja,text_jv,ref_jv,text_ka,ref_ka,text_kk,ref_kk,text_km,ref_km,text_kn,ref_kn,text_ko,ref_ko,text_ku,ref_ku,text_ky,ref_ky,text_lb,ref_lb,text_lo,ref_lo,text_lt,ref_lt,text_lv,ref_lv,text_mad,ref_mad,text_mg,ref_mg,text_min,ref_min,text_mk,ref_mk,text_ml,ref_ml,text_mn,ref_mn,text_mr,ref_mr,text_ms,ref_ms,text_mt,ref_mt,text_my,ref_my,text_ne,ref_ne,text_nl,ref_nl,text_no,ref_no,text_ny,ref_ny,text_or,ref_or,text_pa,ref_pa,text_pl,ref_pl,text_ps,ref_ps,text_pt,ref_pt,text_ro,ref_ro,text_rw,ref_rw,text_si,ref_si,text_sk,ref_sk,text_sl,ref_sl,text_so,ref_so,text_sq,ref_sq,text_sr,ref_sr,text_st,ref_st,text_sv,ref_sv,text_sw,ref_sw,text_ta,ref_ta,text_te,ref_te,text_th,ref_th,text_ti,ref_ti,text_tl,ref_tl,text_tr,ref_tr,text_uk,ref_uk,text_ur,ref_ur,text_uz,ref_uz,text_vi,ref_vi,text_yo,ref_yo,text_yue,ref_yue,text_zh,ref_zh,text_zu,ref_zu
scr_10,10,Allah does not burden a soul beyond that it can bear.,Quran 2:286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_11,11,And whoever relies upon Allah — then He is sufficient for him.,Quran 65:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_12,12,My mercy encompasses all things.,Quran 7:156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_13,13,And when My servants ask you about Me — indeed I am near. I respond to the supplicant when he calls upon Me.,Quran 2:186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_14,14,"Whoever does righteousness, whether male or female, while being a believer — We will surely cause him to live a good life.",Quran 16:97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_15,15,"Indeed, Allah will not change the condition of a people until they change what is in themselves.",Quran 13:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_16,16,"So do not weaken and do not grieve, and you will be superior if you are true believers.",Quran 3:139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_17,17,"O My servants who have transgressed against themselves, do not despair of the mercy of Allah. Indeed, Allah forgives all sins.",Quran 39:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_18,18,"And whoever fears Allah — He will make for him a way out, and will provide for him from where he does not expect.",Quran 65:2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_19,19,Do not lose hope in the mercy of Allah.,Quran 12:87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_20,20,And We have certainly made the Quran easy to remember. So is there anyone who will be mindful?,Quran 54:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_21,21,And He found you lost and guided you.,Quran 93:7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_22,22,And your Lord says: Call upon Me; I will respond to you.,Quran 40:60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_23,23,And We have certainly honored the children of Adam.,Quran 17:70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_24,24,And seek help through patience and prayer.,Quran 2:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_25,25,Whoever does an atom's weight of good will see it.,Quran 99:7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_26,26,"Unquestionably, the help of Allah is near.",Quran 2:214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_27,27,And whoever is grateful — his gratitude is only for the benefit of himself.,Quran 31:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
